game_title,dev_team,platforms,primary_tags,keywords,game_summary
Elden Ring,"['FromSoftware', 'Bandai Namco Entertainment']","['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series X|S']","['exploration', 'Fantasy', 'Single player', 'difficult', 'Multiplayer', 'Action', 'sword & sorcery', 'Co-operative', 'Open world', 'RPG', 'Adventure']","['exploration', 'monsters', 'knights', 'violence', 'medieval', 'brutal', 'magic', 'dragons', 'death', 'difficult', 'insanity', 'apocalypse', 'undead', 'online', 'traps', 'explorable world', 'sword & sorcery', 'horse riding', 'boss fight', 'customizable characters', 'polygonal 3d', 'bow and arrow', 'upgradeable weapons', 'wasd movement', 'non-player character', 'minotaurs', 'ragdoll physics', 'checkpoints', 'saving the world', 'moral decisions', 'side quests', 'branching storyline', 'player vs player', 'melee', 'auto-saving', 'parrying', 'mercenary', 'non-linear storytelling', 'multiple enemy boss fights', 'stealth kill', 'new game plus', 'fast traveling', 'secret achievements', 'hidden room', 'souls as currency', 'soul steal', 'old-fashioned english', 'pyromancer', 'soulslike', 'interconnected-world', 'epic adventure']","Elden Ring is an action RPG developed by FromSoftware and published by Bandai Namco Entertainment, released in February 2022. Directed by Hidetaka Miyazaki, with world-building contributions from novelist George R. R. Martin, the game features an expansive open world called the Lands Between. Players assume the role of a customisable character known as the Tarnished, who must explore this world, battle formidable enemies, and seek to restore the Elden Ring to become the Elden Lord.

The game builds on the challenging gameplay mechanics familiar from the Dark Souls series but introduces a more open-ended structure with vast exploration, dynamic weather, and a day-night cycle. It offers deep lore, complex characters, and an interconnected world filled with secrets, dungeons, and powerful bosses. Elden Ring takes place in the Lands Between, a fictional realm over which several demigods rule. It was previously ruled over by the immortal Queen Marika, who acted as keeper of the Elden Ring, a powerful force that manifested itself as the physical concept of order. When Marika shattered the Elden Ring and disappeared, her demigod children began fighting over pieces of the Ring in an event called The Shattering. Each demigod has a shard of the Ring called a Great Rune, which corrupts them with power. In the game, the player character is a Tarnished, one of a group of exiles from the Lands Between who are summoned back after the Shattering. The player must traverse the realm to repair the Elden Ring and become the Elden Lord."
The Legend of Zelda: Tears of the Kingdom,"['Nintendo', 'Nintendo EPD Production Group No. 3']",['Nintendo Switch'],"['multiple endings', 'Single player', 'Science fiction', 'RPG', 'female protagonist', 'exploration', 'Drama', 'Adventure', 'side-scrolling', 'Historical', 'Fantasy', 'elves', 'Survival', 'Platform', 'Horror', 'Sandbox', 'Co-operative', 'Open world', 'sword & sorcery', 'Puzzle', 'Multiplayer', 'Action']","['hunting', 'crafting', 'skydiving', 'cooking', 'sequel', 'zelda', 'link', 'horse riding', 'throwing weapons', 'bow and arrow', 'weapon modification', 'horse taming']","The Legend of Zelda: Tears of the Kingdom is the sequel to The Legend of Zelda: Breath of the Wild. The setting for Link’s adventure has been expanded to include the skies above the vast lands of Hyrule. While exploring the caves underneath Hyrule Castle to investigate the origins of the gloom (a dangerous substance which appeared all over the kingdom), Link and Zelda not only find old archeological remains of the Zonai, an ancient race said to have descended from the sky, but also an maleficent mummy held by a bodiless arm, who suddenly reanimates, defeats Link, breaks the Master Sword and rise large structures, once found underground, to the skies above Hyrule, with Zelda vanishing with a spark from a strange amulet found on the site.
Some time later, Link awakens in an unknown place on a floating sky island and meets a mysterious spirit called Rauru, which transplanted his arm (the same arm which was holding the mummy) onto Link, since his right arm was beyond saving. Guided by this new ally, Link sets out in an adventure to protect Hyrule, find Princess Zelda and uncover the mysteries of the Zonai."
Baldur's Gate 3,['Larian Studios'],"['PC (Microsoft Windows)', 'Mac', 'PlayStation 5', 'Xbox Series X|S', 'Google Stadia']","['Adventure', 'RPG', 'Strategy', 'Tactical', 'Turn Based Strategy', 'Action', 'Fantasy', 'Single player', 'Multiplayer', 'Co-operative', 'Split screen', 'character customization', 'multiple endings', 'exploration', 'turn-based', 'immersive', 'medieval', 'sexual content']","['exploration', 'monsters', 'violence', 'bloody', 'medieval', 'character customization', 'dark', 'magic', 'turn-based', 'choose your own adventure', 'crafting', 'dark fantasy', 'demons', 'gore', 'multiple endings', 'traps', 'combat', 'grid-based movement', 'dice', 'nudity', 'dungeon crawler', 'good vs evil', 'party-based', 'choices matter', 'sexual content', 'tactical turn-based combat', 'customizable characters', 'leveling up', 'loot gathering', 'multiple storylines', 'character creation', 'moral decisions', 'branching storyline', 'betrayal', 'redemption', 'friendship', 'immersive', 'meaningful choices', 'turn-based rpg', 'you can pet the dog', 'spells', 'puzzles', 'isometric']","An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome. The land of Faerûn is in turmoil. Refugees cross the wilds, fleeing the helltorn stronghold of Elturel. A vicious cult marches across the Sword Coast, uniting every race of monsters and men under the banner of a cryptic god they call the Absolute. Chaos strikes at Faerûn's foundations, and none may escape its talons. Not even you.

The grotesque nautiloid ship appears out of nowhere, blotting out the sun. Its writhing tentacles snatch you from where you stand. The mind flayers have come, imprisoning you on their ship, infecting you with their horrid parasite. You will become one of them.

By fate or fortune, you survive when the nautiloid crashes in the Sword Coast outlands. You set out for civilisation, desperate for a cure for the parasite festering in your brain, only to take centre stage in a conspiracy that runs as deep as the Nine Hells. New enemies await.

As for old foes... the shadows stir.
And all roads lead to the legendary city of Baldur's Gate."
The Legend of Zelda: Breath of the Wild,"['Nintendo EPD Production Group No. 3', 'Nintendo']",['Nintendo Switch'],"['multiple endings', 'Single player', 'Science fiction', 'RPG', 'female protagonist', 'exploration', 'Drama', 'Adventure', 'side-scrolling', 'Historical', 'Fantasy', 'elves', 'Survival', 'Platform', 'Horror', 'Sandbox', 'Co-operative', 'Open world', 'sword & sorcery', 'Puzzle', 'Multiplayer', 'Action']",[],"The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time."
Hades,"['Netflix', 'Supergiant Games']","['PC (Microsoft Windows)', 'Mac', 'iOS', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S']","['Indie', 'Fantasy', 'multiple endings', 'Single player', 'difficult', 'Brawler', 'Action', 'Drama', 'RPG', 'Adventure']","['greek mythology', 'roguelike', 'difficult', 'supernatural', 'stylized', 'dungeon crawler', 'story rich', 'roguelite', 'netflix', 'you can pet the dog', 'weapons']","A rogue-lite hack and slash dungeon crawler in which Zagreus, son of Hades the Greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the ever-shifting underworld, while getting to know and forging relationships with its inhabitants. Zagreus, the son of Hades, has discovered that his mother, which he was led to believe was Nyx, Night Incarnate, is actually someone else, and is outside Hell. He is now attempting to escape his father's domain, with the help of the other gods of Olympus, in an attempt to find his real mother."
Hollow Knight,['Team Cherry'],"['Linux', 'PC (Microsoft Windows)', 'Mac', 'Wii U', 'Nintendo Switch']","['Indie', '2d', 'Fantasy', 'exploration', 'side-scrolling', 'Single player', 'Platform', 'Action', 'Adventure']","['skill-based', '2d', 'metroidvania', 'insects', 'action-adventure', 'steam', 'steam trading cards', 'explorable world', 'atmospheric', 'giant insects', 'silent protagonist', 'crowdfunding - kickstarter', 'hand-drawn', 'crowdfunding', '2d platformer', 'boss fight', 'steam achievements', 'controller recommendation', 'crowd funded', 'shielded enemies', 'parrying', 'merchants', 'creature compendium', 'the game awards 2017', 'best debut indie game: nominee - 2017 (the game awards)', 'the game awards - nominee', 'the game awards - best debut indie game - nominee', 'interconnected-world']","A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas."
Red Dead Redemption 2,"['Rockstar Games', 'Take-Two Interactive']","['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Google Stadia']","['Shooter', 'Single player', 'Multiplayer', 'Action', 'Drama', 'Co-operative', 'Sandbox', 'Open world', 'RPG', 'Adventure']","['western', 'bloody', 'murder', 'horse', 'action-adventure', 'gore', 'bullet time', 'wildlife', 'nudity', 'sequel', 'horse riding', 'sexual content', 'xbox one x enhanced', 'animal cruelty', 'gore system', 'dual wielding', 'severed limbs', 'the game awards 2017', 'the game awards - nominee', 'the game awards 2016', 'you can pet the dog', 'sexual violence', 'horse taming', 'the game awards - most anticipated game - nominee', 'regional censorship']","Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed.

After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him."
Undertale,"['tobyfox', '8-4']","['Linux', 'PC (Microsoft Windows)', 'Mac', 'PlayStation Vita', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Indie', '2d', 'Turn Based Strategy', 'Fantasy', 'multiple endings', 'Puzzle', 'Single player', 'Horror', 'female protagonist', 'turn-based', 'Drama', 'RPG', 'Adventure', 'Comedy']","['retro', 'psychological horror', 'dark', '2d', 'parody', 'turn-based', 'shmup', 'bullet hell', 'female protagonist', 'village', 'backtracking', 'child protagonist', 'multiple endings', 'cute', 'funny', 'satire', 'pixel art', 'pixel graphics', 'unique battle system', 'crowdfunding - kickstarter', 'story rich', 'manic shooter', 'great soundtrack', 'boss fight', 'choices matter', 'battle', 'anthropomorphism', 'leveling up', 'breaking the fourth wall', 'skeletons', 'original soundtrack release', 'moral decisions', 'using dialogue to avoid combat', 'optional boss', 'pacifist playthrough', 'plot twist', 'fast traveling', 'genocide', 'defense', 'conversation', 'you can pet the dog', 'postmodernism', 'replayability', 'surreal comedy']","A small child falls into the Underground, where monsters have long been banished by humans and are hunting every human that they find. The player controls the child as they try to make it back to the Surface through hostile environments, all the while engaging with a turn-based combat system with puzzle-solving and bullet hell elements, as well as other unconventional game mechanics. ""A long time ago, two races ruled peacefully over the Earth: HUMANS and MONSTERS. One day, a terrible war broke out between the two races. After a long battle, the humans were victorious. They sealed the monsters underground with a magical spell.

In the year 201X, a small child scales Mt. Ebott. It is said that those who climb the mountain never return.

Seeking refuge from the rainy weather, the child enters a cave and discovers an enormous hole.

Moving closer to get a better look... the child falls in.

Now, our story begins."""
Persona 3 Reload,"['P Studio', 'Atlus']","['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series X|S']","['Mystery', 'Turn Based Strategy', 'elves', 'Fantasy', 'Simulator', 'Single player', 'jrpg', 'difficult', 'Science fiction', 'Action', 'turn-based', 'Drama', 'Strategy', 'Visual Novel', 'RPG', 'Adventure', 'Comedy', 'anime']",[],"Step into the shoes of a transfer student thrust into an unexpected fate when entering the hour ""hidden"" between one day and the next. Awaken an incredible power and chase the mysteries of the Dark Hour, fight for your friends, and leave a mark on their memories forever.

Persona 3 Reload is a captivating reimagining of the genre-defining RPG, reborn for the modern era."
Resident Evil 4,"['Capcom', 'Capcom Development Division 1']","['PlayStation 2', 'PlayStation 3']","['Shooter', 'multiple endings', 'Puzzle', 'Split screen', 'Survival', 'Single player', 'Horror', 'Multiplayer', 'Action', 'Co-operative', 'Stealth', 'female protagonist', 'Adventure']",[],"Resident Evil 4 is a remake of the 2005 original Resident Evil 4 reimagined for 2023 to bring state-of-the-art survival horror. Resident Evil 4 preserves the essence of the original game, while introducing modernized gameplay, a reimagined storyline,
and vividly detailed graphics to make this the latest survival horror game where life and death, terror and catharsis intersect."
