game_title,dev_team,platforms,primary_tags,keywords,game_summary,rake_summary,lemma_summary
Elden Ring,"['fromsoftware', 'bandainamcoentertainment']","['pc', 'playstation4', 'xboxone', 'playstation5', 'xboxseriesx|s']","['singleplayer', 'multiplayer', 'swordsorcery', 'adventure', 'rpg', 'openworld', 'cooperative', 'action', 'difficult', 'exploration', 'fantasy', 'game', 'player', 'character', 'series', 'battle', 'power', 'feature', 'fight', 'enemy', 'dark', 'gameplay', 'force', 'explore', 'action', 'land', 'event', 'release', 'secret', 'develop', 'powerful', 'build', 'rpg', 'role', 'introduce', 'offer', 'deep', 'seek', 'mechanic']","['exploration', 'monsters', 'knights', 'violence', 'medieval', 'brutal', 'magic', 'dragons', 'death', 'difficult', 'insanity', 'apocalypse', 'undead', 'online', 'traps', 'explorable world', 'sword & sorcery', 'horse riding', 'boss fight', 'customizable characters', 'polygonal 3d', 'bow and arrow', 'upgradeable weapons', 'wasd movement', 'non-player character', 'minotaurs', 'ragdoll physics', 'checkpoints', 'saving the world', 'moral decisions', 'side quests', 'branching storyline', 'player vs player', 'melee', 'auto-saving', 'parrying', 'mercenary', 'non-linear storytelling', 'multiple enemy boss fights', 'stealth kill', 'new game plus', 'fast traveling', 'secret achievements', 'hidden room', 'souls as currency', 'soul steal', 'old-fashioned english', 'pyromancer', 'soulslike', 'interconnected-world', 'epic adventure']","Elden Ring is an action RPG developed by FromSoftware and published by Bandai Namco Entertainment, released in February 2022. Directed by Hidetaka Miyazaki, with world-building contributions from novelist George R. R. Martin, the game features an expansive open world called the Lands Between. Players assume the role of a customisable character known as the Tarnished, who must explore this world, battle formidable enemies, and seek to restore the Elden Ring to become the Elden Lord.

The game builds on the challenging gameplay mechanics familiar from the Dark Souls series but introduces a more open-ended structure with vast exploration, dynamic weather, and a day-night cycle. It offers deep lore, complex characters, and an interconnected world filled with secrets, dungeons, and powerful bosses. Elden Ring takes place in the Lands Between, a fictional realm over which several demigods rule. It was previously ruled over by the immortal Queen Marika, who acted as keeper of the Elden Ring, a powerful force that manifested itself as the physical concept of order. When Marika shattered the Elden Ring and disappeared, her demigod children began fighting over pieces of the Ring in an event called The Shattering. Each demigod has a shard of the Ring called a Great Rune, which corrupts them with power. In the game, the player character is a Tarnished, one of a group of exiles from the Lands Between who are summoned back after the Shattering. The player must traverse the realm to repair the Elden Ring and become the Elden Lord.",challenge gameplay mechanic familiar demigod child fight elden,elden action rpg develop fromsoftware publish bandai namco entertainment release february direct hidetaka miyazaki worldbuilding contribution novelist george martin game feature expansive land player assume role customisable character tarnished explore battle formidable enemy seek restore elden elden lord game build challenging gameplay mechanic familiar dark souls series introduce openended structure vast exploration dynamic weather daynight cycle offer deep lore complex character interconnected secret dungeon powerful boss elden land fictional realm demigod rule rule immortal queen marika keeper elden powerful force manifest physical concept marika shatter elden disappear demigod child fight piece event shattering demigod shard rune corrupt power game player character tarnished exile land summon shatter player traverse realm repair elden elden lord
The Legend of Zelda: Tears of the Kingdom,"['nintendo', 'nintendoepdproductiongroupno3']",['nintendoswitch'],"['puzzle', 'swordsorcery', 'multiplayer', 'elves', 'adventure', 'femaleprotagonist', 'drama', 'platform', 'sidescrolling', 'action', 'historical', 'singleplayer', 'survival', 'exploration', 'sandbox', 'sciencefiction', 'horror', 'rpg', 'openworld', 'cooperative', 'multipleendings', 'fantasy', 'time', 'set', 'adventure', 'explore', 'land', 'save', 'include', 'island', 'defeat', 'mysterious', 'meet', 'master', 'sequel', 'race', 'kingdom', 'link', 'mystery', 'castle', 'uncover', 'princess', 'legend', 'strange', 'zelda', 'ancient', 'break']","['hunting', 'crafting', 'skydiving', 'cooking', 'sequel', 'zelda', 'link', 'horse riding', 'throwing weapons', 'bow and arrow', 'weapon modification', 'horse taming']","The Legend of Zelda: Tears of the Kingdom is the sequel to The Legend of Zelda: Breath of the Wild. The setting for Link’s adventure has been expanded to include the skies above the vast lands of Hyrule. While exploring the caves underneath Hyrule Castle to investigate the origins of the gloom (a dangerous substance which appeared all over the kingdom), Link and Zelda not only find old archeological remains of the Zonai, an ancient race said to have descended from the sky, but also an maleficent mummy held by a bodiless arm, who suddenly reanimates, defeats Link, breaks the Master Sword and rise large structures, once found underground, to the skies above Hyrule, with Zelda vanishing with a spark from a strange amulet found on the site.
Some time later, Link awakens in an unknown place on a floating sky island and meets a mysterious spirit called Rauru, which transplanted his arm (the same arm which was holding the mummy) onto Link, since his right arm was beyond saving. Guided by this new ally, Link sets out in an adventure to protect Hyrule, find Princess Zelda and uncover the mysteries of the Zonai.",mysterious spirit rauru archeological remain cave hyrule castle,legend zelda tear kingdom sequel legend zelda breath wild setting link adventure expand include sky vast land hyrule explore cave hyrule castle investigate origin gloom dangerous substance kingdom link zelda archeological remains zonai ancient race descend sky maleficent mummy hold bodiless arm suddenly reanimate defeat link break master sword rise structure underground sky hyrule zelda vanish spark strange amulet time link awakens unknown float sky island meet mysterious spirit rauru transplant arm arm hold mummy link arm save guide ally link set adventure protect hyrule princess zelda uncover mystery zonai
Baldur's Gate 3,['larianstudios'],"['pc', 'mac', 'playstation5', 'xboxseriesx|s', 'googlestadia']","['immersive', 'turnbasedstrategy', 'singleplayer', 'multiplayer', 'medieval', 'rpg', 'sexualcontent', 'splitscreen', 'cooperative', 'strategy', 'tactical', 'action', 'charactercustomization', 'multipleendings', 'turnbased', 'exploration', 'fantasy', 'adventure', 'set', 'city', 'enemy', 'land', 'return', 'evil', 'escape', 'lead', 'race', 'monster', 'survive', 'fate', 'chaos', 'god', 'deep', 'shadow', 'ancient', 'crash', 'ship', 'legendary']","['exploration', 'monsters', 'violence', 'bloody', 'medieval', 'character customization', 'dark', 'magic', 'turn-based', 'choose your own adventure', 'crafting', 'dark fantasy', 'demons', 'gore', 'multiple endings', 'traps', 'combat', 'grid-based movement', 'dice', 'nudity', 'dungeon crawler', 'good vs evil', 'party-based', 'choices matter', 'sexual content', 'tactical turn-based combat', 'customizable characters', 'leveling up', 'loot gathering', 'multiple storylines', 'character creation', 'moral decisions', 'branching storyline', 'betrayal', 'redemption', 'friendship', 'immersive', 'meaningful choices', 'turn-based rpg', 'you can pet the dog', 'spells', 'puzzles', 'isometric']","An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome. The land of Faerûn is in turmoil. Refugees cross the wilds, fleeing the helltorn stronghold of Elturel. A vicious cult marches across the Sword Coast, uniting every race of monsters and men under the banner of a cryptic god they call the Absolute. Chaos strikes at Faerûn's foundations, and none may escape its talons. Not even you.

The grotesque nautiloid ship appears out of nowhere, blotting out the sun. Its writhing tentacles snatch you from where you stand. The mind flayers have come, imprisoning you on their ship, infecting you with their horrid parasite. You will become one of them.

By fate or fortune, you survive when the nautiloid crashes in the Sword Coast outlands. You set out for civilisation, desperate for a cure for the parasite festering in your brain, only to take centre stage in a conspiracy that runs as deep as the Nine Hells. New enemies await.

As for old foes... the shadows stir.
And all roads lead to the legendary city of Baldur's Gate.",vicious cult march grotesque nautiloid ship,ancient evil return baldur gate intent devour fate faerun lie hand resist overcome land faerun turmoil refugee cross wild flee helltorn stronghold elturel vicious cult march sword coast uniting race monster banner cryptic god absolute chaos strike faerun foundation escape talon grotesque nautiloid ship blot sun writhing tentacle snatch stand mind flayers imprisoning ship infect horrid parasite fate fortune survive nautiloid crash sword coast outlands set civilisation desperate cure parasite festering brain centre stage conspiracy deep enemy await foe shadow stir road lead legendary city baldur gate
The Legend of Zelda: Breath of the Wild,"['nintendoepdproductiongroupno3', 'nintendo']",['nintendoswitch'],"['puzzle', 'swordsorcery', 'multiplayer', 'elves', 'adventure', 'femaleprotagonist', 'drama', 'platform', 'sidescrolling', 'action', 'historical', 'singleplayer', 'survival', 'exploration', 'sandbox', 'sciencefiction', 'horror', 'rpg', 'openworld', 'cooperative', 'multipleendings', 'fantasy', 'game', 'time', 'series', 'enemy', 'weapon', 'land', 'video', 'quest', 'link', 'powerful', 'travel', 'complete', 'legend', 'zelda']",[],"The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time.",,legend zelda breath wild openworld game zelda series link travel equip weapon armor grant bonus game series breath wild impose specific quest dungeon complete game environmental obstacle weather inhospitable land powerful enemy overcome method lot critic ranked breath wild video game time
Hades,"['netflix', 'supergiantgames']","['pc', 'mac', 'ios', 'playstation4', 'xboxone', 'nintendoswitch', 'playstation5', 'xboxseriesx|s']","['drama', 'singleplayer', 'indie', 'adventure', 'rpg', 'multipleendings', 'action', 'difficult', 'brawler', 'fantasy', 'fight', 'discover', 'escape', 'lead', 'attempt', 'god', 'dead', 'night']","['greek mythology', 'roguelike', 'difficult', 'supernatural', 'stylized', 'dungeon crawler', 'story rich', 'roguelite', 'netflix', 'you can pet the dog', 'weapons']","A rogue-lite hack and slash dungeon crawler in which Zagreus, son of Hades the Greek god of the dead, attempts to escape his home and his oppressive father by fighting the souls of the dead through the various layers of the ever-shifting underworld, while getting to know and forging relationships with its inhabitants. Zagreus, the son of Hades, has discovered that his mother, which he was led to believe was Nyx, Night Incarnate, is actually someone else, and is outside Hell. He is now attempting to escape his father's domain, with the help of the other gods of Olympus, in an attempt to find his real mother.",,roguelite hack slash dungeon crawler zagreus son hades greek god dead attempt escape oppressive father fight soul dead layer evershifting underworld forge relationship inhabitant zagreus son hades discover mother lead nyx night incarnate attempt escape father domain god olympus attempt real mother
Hollow Knight,['teamcherry'],"['linux', 'pc', 'mac', 'wiiu', 'nintendoswitch']","['platform', 'singleplayer', 'sidescrolling', 'indie', 'adventure', 'action', '2d', 'exploration', 'fantasy', 'player', 'fight', 'ability', 'combat', 'meet', 'kingdom', 'travel', 'enter']","['skill-based', '2d', 'metroidvania', 'insects', 'action-adventure', 'steam', 'steam trading cards', 'explorable world', 'atmospheric', 'giant insects', 'silent protagonist', 'crowdfunding - kickstarter', 'hand-drawn', 'crowdfunding', '2d platformer', 'boss fight', 'steam achievements', 'controller recommendation', 'crowd funded', 'shielded enemies', 'parrying', 'merchants', 'creature compendium', 'the game awards 2017', 'best debut indie game: nominee - 2017 (the game awards)', 'the game awards - nominee', 'the game awards - best debut indie game - nominee', 'interconnected-world']","A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas.",,metroidvania emphasis close combat exploration player enter onceprosperous nowbleak insect kingdom hallownest travel district meet friendly inhabitant fight hostile uncovers kingdom history improve combat ability movement arsenal fight boss access outoftheway
Red Dead Redemption 2,"['rockstargames', 'taketwointeractive']","['pc', 'playstation4', 'xboxone', 'googlestadia']","['shooter', 'drama', 'singleplayer', 'multiplayer', 'rpg', 'openworld', 'cooperative', 'action', 'sandbox', 'adventure', 'fight', 'force', 'kill', 'survive', 'epic', 'choice', 'dead', 'hunter', 'town', 'hunt', 'steal']","['western', 'bloody', 'murder', 'horse', 'action-adventure', 'gore', 'bullet time', 'wildlife', 'nudity', 'sequel', 'horse riding', 'sexual content', 'xbox one x enhanced', 'animal cruelty', 'gore system', 'dual wielding', 'severed limbs', 'the game awards 2017', 'the game awards - nominee', 'the game awards 2016', 'you can pet the dog', 'sexual violence', 'horse taming', 'the game awards - most anticipated game - nominee', 'regional censorship']","Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed.

After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him.",infamous van der linde gang van der linde gang robbery badly wrong red dead redemption deepen internal division threaten remaining outlaw gang,red dead redemption epic tale outlaw arthur morgan infamous van der linde gang america dawn modern age america wild west era lawman hunt remaining outlaw gang surrender succumb kill robbery badly wrong western town blackwater arthur morgan van der linde gang force flee federal agent bounty hunter nation mass heel gang rob steal fight rugged heartland america survive deepen internal division threaten tear gang arthur choice ideal loyalty gang raise
Undertale,"['tobyfox', '84']","['linux', 'pc', 'mac', 'playstationvita', 'playstation4', 'xboxone', 'nintendoswitch']","['puzzle', 'drama', 'horror', 'turnbasedstrategy', 'singleplayer', 'comedy', 'indie', 'adventure', 'rpg', 'multipleendings', '2d', 'turnbased', 'fantasy', 'femaleprotagonist', 'game', 'player', 'story', 'time', 'battle', 'war', 'control', 'return', 'combat', 'day', 'human', 'race', 'monster', 'element', 'fall', 'environment', 'earth', 'break', 'seek', 'enter', 'hunt', 'mechanic']","['retro', 'psychological horror', 'dark', '2d', 'parody', 'turn-based', 'shmup', 'bullet hell', 'female protagonist', 'village', 'backtracking', 'child protagonist', 'multiple endings', 'cute', 'funny', 'satire', 'pixel art', 'pixel graphics', 'unique battle system', 'crowdfunding - kickstarter', 'story rich', 'manic shooter', 'great soundtrack', 'boss fight', 'choices matter', 'battle', 'anthropomorphism', 'leveling up', 'breaking the fourth wall', 'skeletons', 'original soundtrack release', 'moral decisions', 'using dialogue to avoid combat', 'optional boss', 'pacifist playthrough', 'plot twist', 'fast traveling', 'genocide', 'defense', 'conversation', 'you can pet the dog', 'postmodernism', 'replayability', 'surreal comedy']","A small child falls into the Underground, where monsters have long been banished by humans and are hunting every human that they find. The player controls the child as they try to make it back to the Surface through hostile environments, all the while engaging with a turn-based combat system with puzzle-solving and bullet hell elements, as well as other unconventional game mechanics. ""A long time ago, two races ruled peacefully over the Earth: HUMANS and MONSTERS. One day, a terrible war broke out between the two races. After a long battle, the humans were victorious. They sealed the monsters underground with a magical spell.

In the year 201X, a small child scales Mt. Ebott. It is said that those who climb the mountain never return.

Seeking refuge from the rainy weather, the child enters a cave and discovers an enormous hole.

Moving closer to get a better look... the child falls in.

Now, our story begins.""",race rule peacefully child scale,child fall underground monster banish human hunt human player control child surface hostile environment engage turnbased combat puzzlesolving bullet element unconventional game mechanic time race rule peacefully earth human monster day terrible war break race battle human victorious seal monster underground magical spell child scale ebott climb mountain return seek refuge rainy weather child enter cave discovers enormous hole close child fall story
Persona 3 Reload,"['pstudio', 'atlus']","['pc', 'playstation4', 'xboxone', 'playstation5', 'xboxseriesx|s']","['sciencefiction', 'drama', 'comedy', 'anime', 'turnbasedstrategy', 'singleplayer', 'simulator', 'jrpg', 'rpg', 'adventure', 'mystery', 'visualnovel', 'strategy', 'action', 'difficult', 'elves', 'turnbased', 'fantasy', 'power', 'fight', 'dark', 'friend', 'leave', 'day', 'mystery', 'fate', 'rpg', 'enter']",[],"Step into the shoes of a transfer student thrust into an unexpected fate when entering the hour ""hidden"" between one day and the next. Awaken an incredible power and chase the mysteries of the Dark Hour, fight for your friends, and leave a mark on their memories forever.

Persona 3 Reload is a captivating reimagining of the genre-defining RPG, reborn for the modern era.",,step shoe transfer student thrust unexpected fate enter hour hidden day awaken incredible power chase mystery dark hour fight friend leave mark memory persona reload captivate reimagining genredefining rpg reborn modern era
Resident Evil 4,"['capcom', 'capcomdevelopmentdivision1']","['playstation2', 'playstation3']","['shooter', 'puzzle', 'horror', 'singleplayer', 'multiplayer', 'survival', 'splitscreen', 'cooperative', 'multipleendings', 'action', 'stealth', 'adventure', 'femaleprotagonist', 'game', 'gameplay', 'life', 'original', 'evil', 'bring', 'horror', 'death', 'survival', 'introduce', 'graphic']",[],"Resident Evil 4 is a remake of the 2005 original Resident Evil 4 reimagined for 2023 to bring state-of-the-art survival horror. Resident Evil 4 preserves the essence of the original game, while introducing modernized gameplay, a reimagined storyline,
and vividly detailed graphics to make this the latest survival horror game where life and death, terror and catharsis intersect.",original resident evil reimagined resident evil preserve late survival horror game resident evil,resident evil remake original resident evil reimagined bring stateoftheart survival horror resident evil preserve essence original game introduce modernize gameplay reimagined storyline vividly detailed graphic late survival horror game life death terror catharsis intersect
